event_name,market,event_date,event_time,season_name,plan,total_events,plan_abv
PL1,07. Chicago,7/11/25,20:00:00,25.07 Chicago,N,1,E
PL2,07. Chicago,7/12/25,20:00:00,25.07 Chicago,N,1,E
PLL0719A,08. Fairfield,7/19/25,15:00:00,25.08 Fairfield,N,1,E
PLL0718,08. Fairfield,7/18/25,18:30:00,25.08 Fairfield,N,1,E
WK,08. Fairfield,7/18/25,11:59:00,25.08 Fairfield,Y,3,FS
PLL0719B,08. Fairfield,7/19/25,20:00:00,25.08 Fairfield,N,1,E
PLL1,10. Denver,8/1/25,18:00:00,25.10 Denver,N,1,E
PLL2,10. Denver,8/2/25,11:00:00,25.10 Denver,N,1,E
PLL3,10. Denver,8/2/25,18:00:00,25.10 Denver,N,1,E
PLLWP,10. Denver,8/1/25,11:59:00,25.10 Denver,Y,3,FS
PLL25,13. Subaru Park,9/1/25,16:00:00,25.13 Subaru Park,N,1,E
25PLL,14. Championship,9/14/25,12:30:00,25.14 NY Championship Suites,N,1,E
PLUS,10. Denver,8/1/25,23:00:00,25.10 Denver Upgrade,N,1,EXP
250211HC,00. Champ Series,2/11/25,19:00:00,25.00PE Champ Series Premium Experiences,N,1,EXP
250212HC,00. Champ Series,2/12/25,19:00:00,25.00PE Champ Series Premium Experiences,N,1,EXP
250213HC,00. Champ Series,2/13/25,19:00:00,25.00PE Champ Series Premium Experiences,N,1,EXP
250214HC,00. Champ Series,2/14/25,18:00:00,25.00PE Champ Series Premium Experiences,N,1,EXP
25215HCA,00. Champ Series,2/15/25,12:30:00,25.00PE Champ Series Premium Experiences,N,1,EXP
25CSALL,00. Champ Series,2/11/25,23:59:00,25.00 Champ Series - TSJ,Y,9,FS
25215HCE,00. Champ Series,2/15/25,18:00:00,25.00PE Champ Series Premium Experiences,N,1,EXP
25216HCA,00. Champ Series,2/16/25,10:30:00,25.00PE Champ Series Premium Experiences,N,1,EXP
25216HCE,00. Champ Series,2/16/25,18:00:00,25.00PE Champ Series Premium Experiences,N,1,EXP
250217HC,00. Champ Series,2/17/25,11:00:00,25.00PE Champ Series Premium Experiences,N,1,EXP
24PHP,2024 Philly Homecoming,6/15/24,23:59:00,2024 Philly Nova Season,Y,3,FS
24PDAY1,2024 Philly  Day 1 Game 1,6/15/24,12:30:00,2024 Philly Nova Season,N,1,E
24PDAY3,2024 Philadelphia Day 2,6/16/24,12:30:00,2024 Philly Nova Season,N,1,E
25AUPG,TEST,5/30/25,23:59:00,25.01 Albany Season,Y,2,PAP
250211,00. Champ Series,2/11/25,19:00:00,25.00 Champ Series - TSJ,N,1,E
25APRO,Players Tour,5/28/25,19:00:00,25.01UP Albany Upsell,N,1,SPE
25CPRO,Players Tour,6/7/25,9:00:00,25.02UP Charlotte Upsell,N,1,SPE
25PPRO,Players Tour,6/14/25,9:00:00,25.03UP Philadelphia Upsell,N,1,SPE
25BPRO,Players Tour,6/22/25,9:00:00,25.04UP Baltimore Upsell,N,1,SPE
25SDPRO,Players Tour,6/10/25,18:00:00,25.05UP San Diego Upsell,N,1,SPE
250211FP,00. Champ Series,2/11/25,19:00:00,25.00PE Champ Series Premium Experiences,N,1,EXP
25SLPRO,Players Tour,7/8/25,20:00:00,25.09UP Salt Lake City Upsell,N,1,SPE
25BSPRO,Players Tour,8/9/25,15:30:00,25.11UP Boston Upsell,N,1,SPE
250711S,07. Chicago,7/11/25,18:00:00,25.07 Chicago Suites,N,1,E
250712S,07. Chicago,7/12/25,18:00:00,25.07 Chicago Suites,N,1,E
250718,08. Fairfield,7/18/25,18:30:00,25.08 Fairfield Suites,N,1,E
25CSDEP,00. Champ Series,2/15/25,17:30:00,25.00D Champ Series Deposits,N,1,DEP
250719A,08. Fairfield,7/19/25,15:00:00,25.08 Fairfield Suites,N,1,E
250719B,08. Fairfield,7/19/25,20:00:00,25.08 Fairfield Suites,N,1,E
25CATER,Catering,9/30/25,20:00:00,2025 Catering,N,1,E
24PDAY2,2024 Phily Day 1 Game 2,6/15/24,19:00:00,2024 Philly Nova Season,N,1,E
250901,13. Subaru Park,9/1/25,16:00:00,25.13 Subaru Park Suites,N,1,E
25KCWP,06. Kansas City,7/4/25,23:59:00,25.06 Kansas City ASG,Y,2,FS
