market,event_name,plan_event,num_events_in_plan,price_level,price_level_description,capacity,base_price,paid_tix_goal,HCP_renew_tix_goal,HCP_new_tix_goal,evt_FP_tix_goal,evt_group_tix_goal,HCP_goal,evt_goal,seat_map_PL_image
00. Champ Series,250211,25CSALL,9,A,Field Seats,40,$75.00 ,3.5,,,3.5,,0,3.5,
00. Champ Series,250211,25CSALL,9,B,Field Seats,40,$75.00 ,3.5,,,3.5,,0,3.5,
00. Champ Series,250211,25CSALL,9,C,North Sideline,460,$30.00 ,92,,,92,,0,92,
00. Champ Series,250211,25CSALL,9,D,South Sideline (GA),1500,$15.00 ,428,,,428,,0,428,
00. Champ Series,250211,25CSALL,9,E,TSL,,,0,,,0,,0,0,
00. Champ Series,250211,25CSALL,9,F,Suites,,,0,,,0,,0,0,
00. Champ Series,250211,25CSALL,9,G,Suites,,,0,,,0,,0,0,
00. Champ Series,250212,25CSALL,9,A,Field Seats,40,$75.00 ,3.5,,,3.5,,0,3.5,
00. Champ Series,250212,25CSALL,9,B,Field Seats,40,$75.00 ,3.5,,,3.5,,0,3.5,
00. Champ Series,250212,25CSALL,9,C,North Sideline,460,$30.00 ,92,,,92,,0,92,
00. Champ Series,250212,25CSALL,9,D,South Sideline (GA),1500,$15.00 ,428,,,428,,0,428,
00. Champ Series,250212,25CSALL,9,E,TSL,,,0,,,0,,0,0,
00. Champ Series,250212,25CSALL,9,F,Suites,,,0,,,0,,0,0,
00. Champ Series,250212,25CSALL,9,G,Suites,,,0,,,0,,0,0,
00. Champ Series,250213,25CSALL,9,A,Field Seats,40,$80.00 ,3.5,,,3.5,,0,3.5,
00. Champ Series,250213,25CSALL,9,B,Field Seats,40,$80.00 ,3.5,,,3.5,,0,3.5,
00. Champ Series,250213,25CSALL,9,C,North Sideline,460,$35.00 ,110,,,110,,0,110,
00. Champ Series,250213,25CSALL,9,D,South Sideline (GA),1500,$20.00 ,570,,,570,,0,570,
00. Champ Series,250213,25CSALL,9,E,TSL,,,0,,,,,0,0,
00. Champ Series,250213,25CSALL,9,F,Suites,,,0,,,,,0,0,
00. Champ Series,250213,25CSALL,9,G,Suites,,,0,,,,,0,0,
00. Champ Series,250214,25CSALL,9,A,Field Seats,40,$125.00 ,13.5,,,13.5,,0,13.5,
00. Champ Series,250214,25CSALL,9,B,Field Seats,40,$125.00 ,13.5,,,13.5,,0,13.5,
00. Champ Series,250214,25CSALL,9,C,North Sideline,460,$50.00 ,258,,,258,,0,258,
00. Champ Series,250214,25CSALL,9,D,South Sideline (GA),1500,$30.00 ,1283,,,1283,,0,1283,
00. Champ Series,250214,25CSALL,9,E,TSL,,,0,,,,,0,0,
00. Champ Series,250214,25CSALL,9,F,Suites,,,0,,,,,0,0,
00. Champ Series,250214,25CSALL,9,G,Suites,,,0,,,,,0,0,
00. Champ Series,250215A,25CSALL,9,A,Field Seats,40,$75.00 ,7,,,7,,0,7,
00. Champ Series,250215A,25CSALL,9,B,Field Seats,40,$75.00 ,7,,,7,,0,7,
00. Champ Series,250215A,25CSALL,9,C,North Sideline,460,$40.00 ,147,,,147,,0,147,
00. Champ Series,250215A,25CSALL,9,D,South Sideline (GA),1500,$25.00 ,784,,,784,,0,784,
00. Champ Series,250215A,25CSALL,9,E,TSL,,,0,,,,,0,0,
00. Champ Series,250215A,25CSALL,9,F,Suites,,,0,,,,,0,0,
00. Champ Series,250215A,25CSALL,9,G,Suites,,,0,,,,,0,0,
00. Champ Series,250215E,25CSALL,9,A,Field Seats,40,$150.00 ,17,,,17,,0,17,
00. Champ Series,250215E,25CSALL,9,B,Field Seats,40,$150.00 ,17,,,17,,0,17,
00. Champ Series,250215E,25CSALL,9,C,North Sideline,460,$60.00 ,331,,,331,,0,331,
00. Champ Series,250215E,25CSALL,9,D,South Sideline (GA),1500,$40.00 ,1354,,,1354,,0,1354,
00. Champ Series,250215E,25CSALL,9,E,TSL,,,0,,,,,0,0,
00. Champ Series,250215E,25CSALL,9,F,Suites,,,0,,,,,0,0,
00. Champ Series,250215E,25CSALL,9,G,Suites,,,0,,,,,0,0,
00. Champ Series,250216A,25CSALL,9,A,Field Seats,40,$75.00 ,7,,,7,,0,7,
00. Champ Series,250216A,25CSALL,9,B,Field Seats,40,$75.00 ,7,,,7,,0,7,
00. Champ Series,250216A,25CSALL,9,C,North Sideline,460,$40.00 ,92,,,92,,0,92,
00. Champ Series,250216A,25CSALL,9,D,South Sideline (GA),1500,$25.00 ,570,,,570,,0,570,
00. Champ Series,250216A,25CSALL,9,E,TSL,,,0,,,,,0,0,
00. Champ Series,250216A,25CSALL,9,F,Suites,,,0,,,,,0,0,
00. Champ Series,250216A,25CSALL,9,G,Suites,,,0,,,,,0,0,
