ticket_type,ticket_type_name,ticket_type_desc,inet_ticket_type_name,inet_ticket_type_desc,active,protected,host_ticket_type,host_qual_id,host_qual_name,ticket_type_category,class_id,sort_seq,upd_user,upd_datetime,comp_ind,comp_code,default_host_offer_id,default_host_seat_mask,orig_lbd_ticket_type,fantm_message_code,ms_seq_id
_0,,,,,N,N,K-TYPE,74,_X7_,,,927,tm46,7/2/2007 14:37:43:355,N,,0,_0,,,1
_00,,,,,N,N,K-TYPE,101,_X70,,,954,tm46,7/2/2007 14:37:43:355,N,,0,_00,,,2
_01,Group Marketing 10%,Group Marketing 10%,Group Marketing 10%,Group Marketing 10%,Y,N,K-TYPE,102,_X71,GRP,,955,SPUCHTA,1/29/2025 17:07:12:934894,N,,0,_01,,,3
_02,Marketing 50%,Marketing 50%,Marketing 50%,Marketing 50%,Y,N,K-TYPE,103,_X72,FP,,956,KMYERS,6/12/2024 10:21:39:946315,N,,0,_02,,,4
_03,Marketing 5%,Marketing 5%,Marketing 5%,Marketing 5%,Y,N,K-TYPE,104,_X73,FP,,957,KMYERS,7/17/2024 16:20:37:274408,N,,0,_03,,,5
_04,Marketing 20%,Marketing 20%,Marketing 20%,Marketing 20%,Y,N,K-TYPE,105,_X74,FP,,958,KMYERS,7/17/2024 16:20:37:298395,N,,0,_04,,,6
_05,$5 Ticket,$5 Ticket,$5 Ticket,$5 Ticket,Y,N,K-TYPE,106,_X75,FP,,959,KMYERS,2/2/2023 13:31:37:903622,N,,0,_05,,,7
_06,Maketing 25%,Marketing 25%,Maketing 25%,Marketing 25%,Y,N,K-TYPE,107,_X76,FP,,960,AKRALL,7/29/2024 12:23:08:830954,N,,0,_06,,,8
_07,Non-Int Marketing 10%,Non-Int Marketing 10%,Non-Int Marketing 10%,Non-Int Marketing 10%,Y,N,K-TYPE,108,_X77,FP,,961,SPUCHTA,3/3/2025 12:58:32:047509,N,,0,_07,,,9
_08,,,,,N,N,K-TYPE,109,_X78,,,962,tm46,7/2/2007 14:37:43:355,N,,0,_08,,,10
_09,$19 Group Ticket,$19 Group Ticket,$19 Group Ticket,$19 Group Ticket,Y,N,K-TYPE,110,_X79,GRP,,963,KMYERS,2/2/2024 06:20:29:512222,N,,0,_09,,,11
_0A,,,,,N,N,K-TYPE,75,_X7A,,,928,tm46,7/2/2007 14:37:43:355,N,,0,_0A,,,12
_0B,,,,,N,N,K-TYPE,76,_X7B,,,929,tm46,7/2/2007 14:37:43:355,N,,0,_0B,,,13
_0C,Cinco de Mayo Discount,,Cinco de Mayo Discount,,Y,N,K-TYPE,77,_X7C,GRP,,930,SPUCHTA,5/5/2025 10:48:56:313629,N,,0,_0C,,,14
_0D,,,,,N,N,K-TYPE,78,_X7D,,,931,tm46,7/2/2007 14:37:43:355,N,,0,_0D,,,15
_0E,,,,,N,N,K-TYPE,79,_X7E,,,932,tm46,7/2/2007 14:37:43:355,N,,0,_0E,,,16
_0F,,,,,N,N,K-TYPE,80,_X7F,,,933,tm46,7/2/2007 14:37:43:355,N,,0,_0F,,,17
_0G,,,,,N,N,K-TYPE,81,_X7G,,,934,tm46,7/2/2007 14:37:43:355,N,,0,_0G,,,18
_0H,,,,,N,N,K-TYPE,82,_X7H,,,935,tm46,7/2/2007 14:37:43:355,N,,0,_0H,,,19
_0I,,,,,N,N,K-TYPE,83,_X7I,,,936,tm46,7/2/2007 14:37:43:355,N,,0,_0I,,,20
_0J,,,,,N,N,K-TYPE,84,_X7J,,,937,tm46,7/2/2007 14:37:43:355,N,,0,_0J,,,21
_0K,,,,,N,N,K-TYPE,85,_X7K,,,938,tm46,7/2/2007 14:37:43:355,N,,0,_0K,,,22
_0L,,,,,N,N,K-TYPE,86,_X7L,,,939,tm46,7/2/2007 14:37:43:355,N,,0,_0L,,,23
_0M,,,,,N,N,K-TYPE,87,_X7M,,,940,tm46,7/2/2007 14:37:43:355,N,,0,_0M,,,24
_0N,,,,,N,N,K-TYPE,88,_X7N,,,941,tm46,7/2/2007 14:37:43:355,N,,0,_0N,,,25
_0O,,,,,N,N,K-TYPE,89,_X7O,,,942,tm46,7/2/2007 14:37:43:355,N,,0,_0O,,,26
_0P,,,,,N,N,K-TYPE,90,_X7P,,,943,tm46,7/2/2007 14:37:43:355,N,,0,_0P,,,27
_0Q,,,,,N,N,K-TYPE,91,_X7Q,,,944,tm46,7/2/2007 14:37:43:355,N,,0,_0Q,,,28
_0R,,,,,N,N,K-TYPE,92,_X7R,,,945,tm46,7/2/2007 14:37:43:355,N,,0,_0R,,,29
_0S,,,,,N,N,K-TYPE,93,_X7S,,,946,tm46,7/2/2007 14:37:43:355,N,,0,_0S,,,30
_0T,,,,,N,N,K-TYPE,94,_X7T,,,947,tm46,7/2/2007 14:37:43:355,N,,0,_0T,,,31
_0U,,,,,N,N,K-TYPE,95,_X7U,,,948,tm46,7/2/2007 14:37:43:355,N,,0,_0U,,,32
_0V,,,,,N,N,K-TYPE,96,_X7V,,,949,tm46,7/2/2007 14:37:43:355,N,,0,_0V,,,33
_0W,,,,,N,N,K-TYPE,97,_X7W,,,950,tm46,7/2/2007 14:37:43:355,N,,0,_0W,,,34
_0X,,,,,N,N,K-TYPE,98,_X7X,,,951,tm46,7/2/2007 14:37:43:355,N,,0,_0X,,,35
_0Y,,,,,N,N,K-TYPE,99,_X7Y,,,952,tm46,7/2/2007 14:37:43:355,N,,0,_0Y,,,36
_0Z,,,,,N,N,K-TYPE,100,_X7Z,,,953,tm46,7/2/2007 14:37:43:355,N,,0,_0Z,,,37
_1,,,,,N,N,L-TYPE,74,_X7_,,,964,tm46,7/2/2007 14:37:43:355,N,,0,_1,,,38
_10,$10 Ticket,$10 Ticket,$10 Ticket,$10 Ticket,Y,N,L-TYPE,101,_X70,FP,,991,AKRALL,2/7/2023 09:16:41:295738,N,,0,_10,,,39
_11,,,,,N,N,L-TYPE,102,_X71,,,992,tm46,7/2/2007 14:37:43:37,N,,0,_11,,,40
_12,,,,,N,N,L-TYPE,103,_X72,,,993,tm46,7/2/2007 14:37:43:37,N,,0,_12,,,41
