plan_group_id,plan_group_name,plan_event_id,plan_event_name,plan_total_events,plan_type,event_id,event_name,event_date,event_time,team,game_number,total_events,tm_event_name,nesting_level,child_is_plan,season_id,host_integration_enabled
28,24PHP <-> Events,682,24PHP,3,S,684,24PDAY1,6/15/2024,12:30:00,2024 Philly  Day 1 Game 1,1,1,EVS0615M,1,N,144,N
28,24PHP <-> Events,682,24PHP,3,S,685,24PDAY3,6/16/2024,12:30:00,2024 Philadelphia Day 2,1,1,EVS0616,1,N,144,N
35,25CSALL <-> Events,853,25CSALL,9,S,856,250211,2/11/2025,19:00:00,00. Champ Series,1,1,ESJ0211,1,N,166,N
28,24PHP <-> Events,682,24PHP,3,S,798,24PDAY2,6/15/2024,19:00:00,2024 Phily Day 1 Game 2,1,1,EVS0615L,1,N,144,N
35,25CSALL <-> Events,853,25CSALL,9,S,858,250212,2/12/2025,19:00:00,00. Champ Series,2,1,ESJ0212,1,N,166,N
35,25CSALL <-> Events,853,25CSALL,9,S,859,250213,2/13/2025,19:00:00,00. Champ Series,3,1,ESJ0213,1,N,166,N
35,25CSALL <-> Events,853,25CSALL,9,S,860,250214,2/14/2025,18:00:00,00. Champ Series,4,1,ESJ0214,1,N,166,N
35,25CSALL <-> Events,853,25CSALL,9,S,861,250215A,2/15/2025,12:30:00,00. Champ Series,5,1,ESJ0215A,1,N,166,N
35,25CSALL <-> Events,853,25CSALL,9,S,862,250215E,2/15/2025,18:00:00,00. Champ Series,6,1,ESJ0215E,1,N,166,N
35,25CSALL <-> Events,853,25CSALL,9,S,863,250216A,2/16/2025,10:30:00,00. Champ Series,7,1,ESJ0216A,1,N,166,N
35,25CSALL <-> Events,853,25CSALL,9,S,864,250216E,2/16/2025,18:00:00,00. Champ Series,8,1,ESJ0216E,1,N,166,N
35,25CSALL <-> Events,853,25CSALL,9,S,865,250217,2/17/2025,11:00:00,00. Champ Series,9,1,ESJ0217,1,N,166,N
37,25AHP <-> Events,905,25AHP,3,S,906,250531A,5/31/2025,13:00:00,01. Albany,11,1,ELC0531A,1,N,170,N
37,25AHP <-> Events,905,25AHP,3,S,907,250531E,5/31/2025,19:00:00,01. Albany,12,1,ELC0531E,1,N,170,N
37,25AHP <-> Events,905,25AHP,3,S,908,250530,5/30/2025,18:00:00,01. Albany,10,1,ELC0530,1,N,170,N
43,Plan <-> Events,909,25CHP,3,S,910,250606,6/6/2025,18:00:00,02. Charlotte,13,1,EMS0606,1,N,171,N
43,Plan <-> Events,909,25CHP,3,S,911,250607A,6/7/2025,13:00:00,02. Charlotte,14,1,EMS0607A,1,N,171,N
39,25PHP <-> Events,912,25PHP,3,S,913,250613,6/13/2025,18:00:00,03. Philadelphia,16,1,EVS0613,1,N,172,N
39,25PHP <-> Events,912,25PHP,3,S,914,250614A,6/14/2025,13:00:00,03. Philadelphia,17,1,EVS0614A,1,N,172,N
39,25PHP <-> Events,912,25PHP,3,S,915,250614E,6/14/2025,19:00:00,03. Philadelphia,18,1,EVS0614E,1,N,172,N
40,25BHP <-> Events,916,25BHP,2,S,917,250621,6/21/2025,16:00:00,04. Baltimore,19,1,EHF0621,1,N,173,N
40,25BHP <-> Events,916,25BHP,2,S,918,250622,6/22/2025,12:00:00,04. Baltimore,20,1,EHF0622,1,N,173,N
41,25SDHP <-> Events,919,25SDHP,2,S,920,250627,6/27/2025,18:00:00,05. San Diego,21,1,ETS0627,1,N,174,N
41,25SDHP <-> Events,919,25SDHP,2,S,921,250628,6/28/2025,15:00:00,05. San Diego,22,1,ETS0628,1,N,174,N
46,25KCWP <-> Events,1009,25KCWP,2,S,1012,250704,7/4/2025,17:30:00,06. Kansas City,,1,EPL0704,1,N,197,N
46,25KCWP <-> Events,1009,25KCWP,2,S,1013,250705,7/5/2025,12:00:00,06. Kansas City,,1,EPL0705,1,N,197,N
42,TSTPASS <-> Events,938,TSTPASS,2,S,940,TSTDAY1,10/3/2025,20:00:00,TEST,,1,TSTDAY1,1,N,183,N
42,TSTPASS <-> Events,938,TSTPASS,2,S,941,TSTDAY2,10/4/2025,20:00:00,TEST,,1,TSTDAY2,1,N,183,N
43,Plan <-> Events,909,25CHP,3,S,945,250607E,6/7/2025,19:00:00,02. Charlotte,15,1,EMS0607E,1,N,171,N
44,25SLHP <-> Events,922,25SLHP,2,S,948,250725,7/25/2025,18:00:00,09. Salt Lake,28,1,EZBS0801,1,N,175,N
44,25SLHP <-> Events,922,25SLHP,2,S,947,250726,7/26/2025,16:30:00,09. Salt Lake,29,1,EZBS0802,1,N,175,N
45,25BSHP <-> Events,923,25BSHP,3,S,949,250808,8/8/2025,18:30:00,11. Boston,33,1,EHS0808,1,N,176,N
45,25BSHP <-> Events,923,25BSHP,3,S,950,250809A,8/9/2025,13:00:00,11. Boston,34,1,EHS0809A,1,N,176,N
45,25BSHP <-> Events,923,25BSHP,3,S,951,250809E,8/9/2025,19:00:00,11. Boston,35,1,EHS0809E,1,N,176,N
47,D25ALL <-> Events,1048,D25ALL,31,S,953,D250530,5/30/2025,18:00:00,01. Albany,,1,D250530,1,N,182,N
50,D25ALB <-> Events,1051,D25ALB,3,S,953,D250530,5/30/2025,18:00:00,01. Albany,,1,D250530,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,954,D250531A,5/31/2025,13:00:00,01. Albany,,1,D250531A,1,N,182,N
50,D25ALB <-> Events,1051,D25ALB,3,S,954,D250531A,5/31/2025,13:00:00,01. Albany,,1,D250531A,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,955,D250531E,5/31/2025,19:00:00,01. Albany,,1,D250531E,1,N,182,N
50,D25ALB <-> Events,1051,D25ALB,3,S,955,D250531E,5/31/2025,19:00:00,01. Albany,,1,D250531E,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,956,D250606,6/6/2025,18:00:00,02. Charlotte,,1,D250606,1,N,182,N
59,D25CHA <-> Events,1052,D25CHA,3,S,956,D250606,6/6/2025,18:00:00,02. Charlotte,,1,D250606,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,957,D250607A,6/7/2025,13:00:00,02. Charlotte,,1,D250607A,1,N,182,N
