"Season Code","Event Code","Level","Section","Seat Status Code","Seat Count"
"PLL25","PLL0718","GA","GA3","C","4"
"PLL25","PLL0719A","GA","GA3","C","1"
"PLL25","PLL0719A","GA","GA5","c","20"
"PLL25","PLL0719B","GA","GA1","C","5"
"PLL25","PLL0718","PRES","PRES","d","12"
"PLL25","PLL0719A","PRES","PRES","d","12"
"PLL25","PLL0719B","PRES","PRES","d","12"
"PLL25","PLL0718","GA","GA6","K","500"
"PLL25","PLL0718","CLUB","GA0","O","46"
"PLL25","PLL0718","CLUB","GA1","O","50"
"PLL25","PLL0718","CLUB","GA2","O","50"
"PLL25","PLL0718","CLUB","GA3","O","50"
"PLL25","PLL0718","CLUB","GA4","O","50"
"PLL25","PLL0718","CLUB","GA5","O","50"
"PLL25","PLL0718","GA","GA3","O","299"
"PLL25","PLL0718","GA","GA4","O","141"
"PLL25","PLL0718","GA","GA5","O","248"
"PLL25","PLL0718","SUITE","STAD1","O","20"
"PLL25","PLL0718","SUITE","STAD2","O","20"
"PLL25","PLL0719A","CLUB","GA0","O","50"
"PLL25","PLL0719A","CLUB","GA1","O","50"
"PLL25","PLL0719A","CLUB","GA2","O","50"
"PLL25","PLL0719A","CLUB","GA3","O","50"
"PLL25","PLL0719A","CLUB","GA4","O","50"
"PLL25","PLL0719A","CLUB","GA5","O","50"
"PLL25","PLL0719A","FIELD","FIELD1","O","1"
"PLL25","PLL0719A","GA","GA3","O","101"
"PLL25","PLL0719A","GA","GA4","O","481"
"PLL25","PLL0719A","GA","GA5","O","208"
"PLL25","PLL0719A","GA","GA6","O","500"
"PLL25","PLL0719A","SUITE","FIELD1","O","20"
"PLL25","PLL0719A","SUITE","FIELD2","O","20"
"PLL25","PLL0719A","SUITE","STAD1","O","20"
"PLL25","PLL0719A","SUITE","STAD2","O","20"
"PLL25","PLL0719B","CLUB","GA0","O","50"
"PLL25","PLL0719B","CLUB","GA1","O","50"
"PLL25","PLL0719B","CLUB","GA2","O","50"
"PLL25","PLL0719B","CLUB","GA3","O","50"
"PLL25","PLL0719B","CLUB","GA4","O","50"
"PLL25","PLL0719B","CLUB","GA5","O","50"
"PLL25","PLL0719B","FIELD","FIELD1","O","1"
"PLL25","PLL0719B","FIELD","FIELD2","O","12"
"PLL25","PLL0719B","GA","GA1","O","322"
"PLL25","PLL0719B","GA","GA2","O","496"
"PLL25","PLL0719B","GA","GA3","O","500"
"PLL25","PLL0719B","GA","GA4","O","481"
"PLL25","PLL0719B","GA","GA5","O","208"
"PLL25","PLL0719B","GA","GA6","O","500"
"PLL25","PLL0719B","SUITE","FIELD1","O","20"
"PLL25","PLL0719B","SUITE","FIELD2","O","20"
"PLL25","PLL0719B","SUITE","STAD1","O","20"
"PLL25","PLL0719B","SUITE","STAD2","O","20"
"PLL25","PLL0718","FIELD","FIELD1","P","8"
"PLL25","PLL0718","GA","GA4","p","250"
"PLL25","PLL0718","GA","GA5","P","50"
"PLL25","PLL0718","GA","GA5","p","200"
"PLL25","PLL0719A","FIELD","FIELD1","P","8"
"PLL25","PLL0719A","GA","GA5","P","50"
"PLL25","PLL0719A","GA","GA5","p","150"
"PLL25","PLL0719B","FIELD","FIELD1","P","8"
"PLL25","PLL0719B","GA","GA5","P","50"
"PLL25","PLL0719B","GA","GA5","p","174"
"PLL25","PLL0718","CLUB","GA0","X","4"
"PLL25","PLL0718","FIELD","FIELD1","X","22"
"PLL25","PLL0718","FIELD","FIELD2","X","30"
"PLL25","PLL0718","GA","GA0","X","500"
"PLL25","PLL0718","GA","GA1","X","500"
"PLL25","PLL0718","GA","GA2","X","500"
"PLL25","PLL0718","GA","GA3","X","197"
"PLL25","PLL0718","GA","GA4","X","109"
"PLL25","PLL0718","GA","GA5","X","2"
"PLL25","PLL0718","SUITE","FIELD1","X","20"
"PLL25","PLL0718","SUITE","FIELD2","X","20"
"PLL25","PLL0718","SUITE","TER1","X","20"
"PLL25","PLL0718","SUITE","TER2","X","20"
"PLL25","PLL0719A","FIELD","FIELD1","X","21"
"PLL25","PLL0719A","FIELD","FIELD2","X","30"
"PLL25","PLL0719A","GA","GA0","X","500"
"PLL25","PLL0719A","GA","GA1","X","500"
"PLL25","PLL0719A","GA","GA2","X","500"
"PLL25","PLL0719A","GA","GA3","X","398"
"PLL25","PLL0719A","GA","GA4","X","19"
"PLL25","PLL0719A","GA","GA5","X","72"
"PLL25","PLL0719A","SUITE","TER1","X","20"
"PLL25","PLL0719A","SUITE","TER2","X","20"
"PLL25","PLL0719B","FIELD","FIELD1","X","21"
"PLL25","PLL0719B","FIELD","FIELD2","X","18"
"PLL25","PLL0719B","GA","GA0","X","500"
"PLL25","PLL0719B","GA","GA1","X","173"
"PLL25","PLL0719B","GA","GA2","X","4"
"PLL25","PLL0719B","GA","GA4","X","19"
"PLL25","PLL0719B","GA","GA5","X","68"
"PLL25","PLL0719B","SUITE","TER1","X","20"
"PLL25","PLL0719B","SUITE","TER2","X","20"
