"Season Code","Event Code","Price Level","Pr Level Full Name","Hold Code","Seat Status Full Name","Qty Held"
"PLL26","PLL1","1","FIELD SEATING","q","Sponsor/Business Development","12"
"PLL26","PLL1","1","FIELD SEATING","s","SEASON TICKET HOLDS","7"
"PLL26","PLL1","1","FIELD SEATING","m","Manager","3"
"PLL26","PLL1","2","STADIUM RESERVED (SEC 4,5,6)","s","SEASON TICKET HOLDS","187"
"PLL26","PLL1","2","STADIUM RESERVED (SEC 4,5,6)","O","Open","6"
"PLL26","PLL1","3","STADIUM GENERAL ADMISSION (SECTIONS 1,2,3,7,8)","P","PLAYER","169"
"PLL26","PLL1","3","STADIUM GENERAL ADMISSION (SECTIONS 1,2,3,7,8)","p","Press/Media","40"
"PLL26","PLL1","3","STADIUM GENERAL ADMISSION (SECTIONS 1,2,3,7,8)","m","Manager","20"
"PLL26","PLL1","4","STADIUM GENERAL ADMISSION (SECTIONS 1,2,3,7,8)","O","Open","80"
"PLL26","PLL1","5","HILL","O","Open","499"
"PLL26","PLL2","1","FIELD SEATING","q","Sponsor/Business Development","12"
"PLL26","PLL2","1","FIELD SEATING","m","Manager","3"
"PLL26","PLL2","1","FIELD SEATING","s","SEASON TICKET HOLDS","9"
"PLL26","PLL2","2","STADIUM RESERVED (SEC 4,5,6)","s","SEASON TICKET HOLDS","187"
"PLL26","PLL2","2","STADIUM RESERVED (SEC 4,5,6)","O","Open","6"
"PLL26","PLL2","3","STADIUM GENERAL ADMISSION (SECTIONS 1,2,3,7,8)","O","Open","927"
"PLL26","PLL2","3","STADIUM GENERAL ADMISSION (SECTIONS 1,2,3,7,8)","p","Press/Media","40"
"PLL26","PLL2","3","STADIUM GENERAL ADMISSION (SECTIONS 1,2,3,7,8)","P","PLAYER","100"
"PLL26","PLL2","3","STADIUM GENERAL ADMISSION (SECTIONS 1,2,3,7,8)","m","Manager","15"
"PLL26","PLL2","4","STADIUM GENERAL ADMISSION (SECTIONS 1,2,3,7,8)","O","Open","213"
"PLL26","PLL2","5","HILL","O","Open","500"
"PLL26","PLL3","1","FIELD SEATING","q","Sponsor/Business Development","12"
"PLL26","PLL3","1","FIELD SEATING","s","SEASON TICKET HOLDS","9"
"PLL26","PLL3","1","FIELD SEATING","m","Manager","3"
"PLL26","PLL3","2","STADIUM RESERVED (SEC 4,5,6)","s","SEASON TICKET HOLDS","187"
"PLL26","PLL3","2","STADIUM RESERVED (SEC 4,5,6)","O","Open","6"
"PLL26","PLL3","3","STADIUM GENERAL ADMISSION (SECTIONS 1,2,3,7,8)","O","Open","289"
"PLL26","PLL3","3","STADIUM GENERAL ADMISSION (SECTIONS 1,2,3,7,8)","p","Press/Media","40"
"PLL26","PLL3","3","STADIUM GENERAL ADMISSION (SECTIONS 1,2,3,7,8)","P","PLAYER","98"
"PLL26","PLL3","3","STADIUM GENERAL ADMISSION (SECTIONS 1,2,3,7,8)","m","Manager","15"
"PLL26","PLL3","4","STADIUM GENERAL ADMISSION (SECTIONS 1,2,3,7,8)","O","Open","209"
"PLL26","PLL3","5","HILL","O","Open","500"
